r.time,r.userid,r.advertiserid,r.orderid,r.lineitemid,r.creativeid,r.creativeversion,r.creativesize,r.adunitid,r.customtargeting,r.domain,r.countryid,r.country,r.regionid,r.region,r.metroid,r.metro,r.cityid,r.city,r.postalcodeid,r.postalcode,r.browserid,r.browser,r.osid,r.os,r.osversion,r.bandwidthid,r.bandwidth,r.timeusec,r.audiencesegmentids,r.product,r.requestedadunitsizes,r.bandwidthgroupid,r.mobiledevice,r.mobilecapability,r.mobilecarrier,r.iscompanion,r.targetedcustomcriteria,r.devicecategory,r.isinterstitial,r.year,r.month,r.date,datestring,unixtimestamp
2018-11-11-00:39:20,M0nIDKIZDwcWSwPsGmSo4Q,0,0,0,0,0,,21752228340,pos=exclusions;ed=in;mnr=f;pgtyp=game;prof=l;sp=cricinfo;swid=78153799-80d1-4b92-cb35-3a596688f413,,2356,India,20469,Tamil Nadu,0,,9040217,Tiruchirappalli,0,,500103,Safari (iPad) Any.Any,501012,Apple iOS,iOS_7_1,502013,carrier,1541914760,,Ad Server,1x2,7,iPad_from_Apple,,Airtel in IN,false,,Tablet,false,2018,11,11,2018-11-11 00:00:00,1541896760
2018-11-11-00:08:55,RBu9vlhS78udnCRvEIuJpw,24580737,2412993825,4835464952,138247878010,1,320x50,391462017,appname=espncricinfo;lang=en;swid=d215f596-cd50-4a22-9791-492e5b41f668;vr=5.1.1,,2356,India,20457,Gujarat,0,,1007758,Jamnagar,0,,500072,Google Chrome Any.Any,501013,Android,Android_8_0,502013,carrier,1541912935,398163|4059003|495858541,Ad Server,fluid|320x1|320x50,7,xt1635-02_from_Motorola,Phone calls,,false,,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541894935
2018-11-11-00:02:50,,0,0,0,0,0,,21618817081,kvpos=top;pos=presbymobile;cricapp=webview;ed=ww;kvos=android;kvpt=livescorecard;kvseriesid=18694;kvsite=southafricatourofaustralia201819;mnr=f;pgtyp=game;prof=s;rdid=069387e0-690c-40fe-9ada-3b75a67b5e64;sp=cricinfomobile;swid=26ab6f06-82e4-4cf4-a8aa-c1b9f3219bb3,,2356,India,20471,Uttar Pradesh,0,,1007824,Lucknow,0,,500072,Google Chrome Any.Any,501013,Android,Android_8_0,502013,carrier,1541912570,,Ad Server,320x30,7,sm-a720f_from_Samsung,Phone calls,Reliance Jio in IN,false,,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541894570
2018-11-11-00:02:50,y57ACJiWdC8vfZBmD12oxA,24536697,496005417,251100417,107707773177,1,1280x100,21618817081,kvpos=top;pos=banner;ed=bd;kvpt=livescorecard;kvseriesid=18815;kvsite=zimbabwetourofbangladesh201819;mnr=f;pgtyp=game;prof=xl;sp=cricinfo;swid=da8ef377-3e8d-498a-c91e-046b52942c4a,bol-online.com,2050,Bangladesh,9070356,Dhaka Division,0,,0,,0,,500072,Google Chrome Any.Any,501032,Microsoft Windows 10,,502019,hsdpa-14mbps,1541912570,,Ad Server,1280x100|970x250,1,,,,false,,Desktop,false,2018,11,11,2018-11-11 00:00:00,1541894570
2018-11-11-00:51:30,jFXU0o0GAWm2tISW3T3CxQ,0,0,0,0,0,,133791057,gm=ffl;lssegs=_aym_;lssegs=_a9g_;lssegs=_a57_;lssegs=_bf2_;lssegs=_bgo_;lssegs=_bme_;lssegs=_bqn_;lssegs=_bqo_;lssegs=_bqp_;lssegs=_bra_;lssegs=_a6c_;lssegs=_awb_;lssegs=_bbl_;lssegs=_bgc_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a54_;lssegs=_aer_;lssegs=_bcc_;lssegs=_bpw_;lssegs=_br2_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5o_;lssegs=_aa8_;lssegs=_bd0_;lssegs=_a44_;lssegs=_bf8_;lssegs=_bgj_;lssegs=_bn0_;lssegs=_bpe_;lssegs=_bpf_;lssegs=_bpg_;lssegs=_bph_;lssegs=_br3_;lssegs=_a48_;lssegs=_be9_;programmatic=true;rdid=e56e6cfe-7fab-4895-9fbb-613c264564ba;sp=ffl;swid={b888c7c6-f7a3-4d60-b8e2-06b9838254ab},actcorp.in,2356,India,9061642,Telangana,0,,9040231,Secunderabad,0,,500072,Google Chrome Any.Any,501013,Android,Android_8_0,502012,wifi,1541915490,108608410|108610810|398290896|499905420|500926586|560479896|669765943,Ad Server,320x50,6,sm-g930t_from_Samsung,Phone calls,,false,,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541897490
2018-11-11-00:51:30,lIaoyYkKYg2jbfuX3iBC4A,43928817,449061657,187304697,92333832777,1,320x50,112346577,pos=banner;ed=us;espn_yxbk=aq7m%2fk%2fn99o2%2br5q;lssegs=_az2_;lssegs=_a8a_;lssegs=_a57_;lssegs=_bf2_;lssegs=_bha_;lssegs=_bmu_;lssegs=_bmx_;lssegs=_bqn_;lssegs=_bqo_;lssegs=_bqp_;lssegs=_bra_;lssegs=_a6e_;lssegs=_blq_;lssegs=_avv_;lssegs=_bbj_;lssegs=_bgc_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a56_;lssegs=_blm_;lssegs=_agm_;lssegs=_bcs_;lssegs=_bpw_;lssegs=_br2_;lssegs=_br1_;lssegs=_a5p_;lssegs=_bfe_;lssegs=_bfa_;mnr=f;pgtyp=scoreboard;prof=s;ref=espn;sp=cfb;swid=99f95be3-941c-4fdd-cfc3-8e36aa6e3938,,2840,United States,21133,Alabama,200630,Birmingham (Ann and Tusc) AL,1013107,Ragland,9012515,35131,500104,Safari (iPhone/iPod) Any.Any,501012,Apple iOS,iOS_12_0,502012,wifi,1541915490,,Ad Server,320x50,6,iPhone_from_Apple,Phone calls,,false,rubicon!=true;espnapp!=webview;trustx!=true,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541897490
2018-11-11-00:15:00,,0,0,0,0,0,,122885577,pos=exclusions;ed=us;espn_yxbk=a5revk%2fn99ykpi5q;lssegs=_axd_;lssegs=_a79_;lssegs=_a57_;lssegs=_bf2_;lssegs=_bha_;lssegs=_bme_;lssegs=_bmu_;lssegs=_bqn_;lssegs=_bqo_;lssegs=_bqp_;lssegs=_bra_;lssegs=_a6d_;lssegs=_avq_;lssegs=_bbs_;lssegs=_bf1_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a55_;lssegs=_ac6_;lssegs=_bcs_;lssegs=_a5j_;lssegs=_bnj_;lssegs=_bpr_;lssegs=_bps_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5p_;lssegs=_aa4_;lssegs=_bd6_;lssegs=_bn0_;lssegs=_bpk_;lssegs=_br4_;lssegs=_bpf_;lssegs=_bpg_;lssegs=_bph_;lssegs=_br3_;lssegs=_a49_;mnr=f;pgtyp=boxscore;prof=s;ref=espn;sp=nba;swid=eb89c784-a8e9-4599-c548-e840753214bf,att.net,2840,United States,21176,Texas,200623,Dallas-Ft. Worth TX,1026339,Dallas,0,,500104,Safari (iPhone/iPod) Any.Any,501012,Apple iOS,iOS_11_4,502013,carrier,1541913300,,Ad Server,1x2,7,iPhone_from_Apple,Phone calls,AT&T in US,false,,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541895300
2018-11-11-00:15:00,BXCCTZNxZ118bstz27g2hg,24580737,2416693833,4840832362,138249294866,1,300x100,21618817081,kvpos=top;pos=promobox;ed=in;kvpt=livescorecard;kvseriesid=18694;kvsite=southafricatourofaustralia201819;mnr=f;pgtyp=game;prof=xl;sp=cricinfo;swid=a0523089-2d67-4835-c8db-8fe751f04e99,actcorp.in,2356,India,20460,Karnataka,0,,1007768,Bengaluru,0,,500072,Google Chrome Any.Any,501006,Linux,,502020,adsl2plus-24mbps,1541913300,,Ad Server,300x100,5,,,,false,,Desktop,false,2018,11,11,2018-11-11 00:00:00,1541895300
2018-11-11-00:27:10,KWuhrlQ1QYKZ2Ye2TyjGqg,24536697,496005417,251099817,138245625562,1,298x50,21752219481,kvpos=top;pos=incontentstrip;ed=lk;kvpt=livescorecard;kvseriesid=18815;kvsite=zimbabwetourofbangladesh201819;mnr=f;pgtyp=game;prof=xl;sp=cricinfo;swid=705a3b9e-edc8-4dd7-cda2-4bcbbed1faee,,2144,Sri Lanka,9069783,Western Province,0,,1009919,Colombo,0,,500072,Google Chrome Any.Any,501032,Microsoft Windows 10,,502017,adsl-8mbps,1541914030,155643|156123|267723|398163|401283|403443|418083|418323|418443|418923|453963|831925|3994803|4022643|4043643|4059003|4077483|4078683|5163123|5619445|105118443|125118363|125131203|125131323|125131563|125132043,Ad Server,298x50,3,,,,false,,Desktop,false,2018,11,11,2018-11-11 00:00:00,1541896030
2018-11-11-00:02:50,5FW-8J0Gej7ZWPpmJpjmoQ,4641891970,2421888232,4849908458,138250091674,1,320x50,21687827210,appname=sportscenter;lang=en;lssegs=_ay7_;lssegs=_a8a_;lssegs=_a57_;lssegs=_bf2_;lssegs=_bha_;lssegs=_bqn_;lssegs=_bqo_;lssegs=_bqp_;lssegs=_bra_;lssegs=_a6e_;lssegs=_blq_;lssegs=_abd_;lssegs=_bd7_;lssegs=_bpk_;lssegs=_br4_;lssegs=_bpe_;lssegs=_bpf_;lssegs=_bpg_;lssegs=_bph_;lssegs=_br3_;lssegs=_a5a_;lssegs=_ble_;lssegs=_avr_;lssegs=_bbm_;lssegs=_bgc_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a56_;lssegs=_blm_;lssegs=_acl_;lssegs=_bcq_;lssegs=_a5k_;lssegs=_bga_;lssegs=_bgl_;lssegs=_bpr_;lssegs=_bps_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5q_;lssegs=_blg_;lssegs=_a4l_;lssegs=_beu_;lssegs=_a6g_;lssegs=_bos_;lssegs=_bqt_;lssegs=_bqu_;lssegs=_bqv_;lssegs=_bqw_;lssegs=_a6m_;lssegs=_bls_;lssegs=_bfe_;lssegs=_be2_;lssegs=_bfa_;lssegs=_bey_;lssegs=_bfi_;lssegs=_be5_;lssegs=_bua_;pos=0;rdid=d9119c6a-9d80-4d8e-87be-002a47561e66;swid=350062d8-bfab-41c8-9bfe-8278463d0772;vr=6.3.0,cableone.net,2840,United States,21158,Mississippi,200746,Biloxi-Gulfport MS,1020797,Pass Christian,0,,500072,Google Chrome Any.Any,501013,Android,Android_8_0,502012,wifi,1541912570,1966|65116|70396|145683|161763|264963|265203|398163|401283|403443|410043|453963|470883|592083|832405|2601777|2601897|3994803|4022643|4043643|4078683|10092483|19460883|20479765|32584257|117763083|125131203|142295163|142358043|383855056|383855071|383855161|432560393|432560417|432560441,Ad Server,320x50,6,sm-g965u_from_Samsung,Phone calls,,false,lang=en,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541894570
